Summary,Issue Type,Status,Priority,Description,Epic Link,Labels,Components
ImmoGest — Authentification & Sécurité,Epic,Done,High,"Authentification avec rôles (gestionnaire/locataire), JWT, blocage après 5 tentatives",,auth security,Auth
Connexion avec rôles gestionnaire/locataire,Story,Done,High,"NextAuth v5 credentials + JWT, distinction des rôles",ImmoGest — Authentification & Sécurité,auth,Auth
Blocage après 5 tentatives échouées,Story,Done,Medium,"Verrouillage temporaire du compte après 5 échecs de connexion",ImmoGest — Authentification & Sécurité,security,Auth
ImmoGest — Dashboard,Epic,Done,High,"Dashboard glassmorphism avec KPI, graphiques, alertes et activité récente",,dashboard ui,Dashboard
KPI avec stats détaillées par période,Story,Done,High,"Revenus, impayés, cautions — filtrable par période",ImmoGest — Dashboard,dashboard kpi,Dashboard
Graphiques aire évolution revenus,Story,Done,Medium,"Graphiques Recharts avec calcul totalMensuel réel corrigé",ImmoGest — Dashboard,dashboard charts,Dashboard
Activité récente et notifications,Story,Done,Medium,"Fil d'activité récente sur le dashboard",ImmoGest — Dashboard,dashboard,Dashboard
Recherche globale Cmd+K,Story,Done,Medium,"Recherche rapide locataires, appartements, baux",ImmoGest — Dashboard,search ux,Dashboard
ImmoGest — Gestion Immeubles,Epic,Done,High,"Vue par immeuble avec gradient, appartements groupés par étage",,immeubles,Immeubles
Vue immeubles avec gradient et groupement par étage,Story,Done,High,"Résidence La'ag Tchang (28 apparts) + Santa Barbara (2 apparts)",ImmoGest — Gestion Immeubles,immeubles ui,Immeubles
ImmoGest — Gestion Appartements,Epic,Done,High,"Cards visuelles, filtres par immeuble/statut, charges affichées, types lisibles",,appartements,Appartements
Cards visuelles appartements avec filtres,Story,Done,High,"Filtres par immeuble et statut (occupé/libre), charges affichées",ImmoGest — Gestion Appartements,appartements ui,Appartements
Types logement lisibles (Chambre/Appart/Villa),Story,Done,Medium,"T2→Chambre, T3→Appart non meublé, T4→Appart meublé, +Villa",ImmoGest — Gestion Appartements,appartements,Appartements
Historique des baux par appartement,Story,Done,Medium,"Affichage des anciens locataires avec baux TERMINE dans l'historique",ImmoGest — Gestion Appartements,appartements baux,Appartements
ImmoGest — Gestion Locataires,Epic,Done,High,"Profil locataire 4 onglets, filtres actifs/anciens, recherche",,locataires,Locataires
Profil locataire — Onglet Situation,Story,Done,High,"Caution, loyer, charges, total dû",ImmoGest — Gestion Locataires,locataires profil,Locataires
Profil locataire — Onglet Informations,Story,Done,High,"Formulaire de modification des infos locataire",ImmoGest — Gestion Locataires,locataires profil,Locataires
Profil locataire — Onglet Baux,Story,Done,High,"Tous les baux actifs + terminés du locataire",ImmoGest — Gestion Locataires,locataires profil baux,Locataires
Profil locataire — Onglet Paiements,Story,Done,High,"Tableau complet des paiements du locataire",ImmoGest — Gestion Locataires,locataires profil paiements,Locataires
Situation globale impayés,Story,Done,High,"Impayés loyer + charges séparés, historique 12 mois visuel",ImmoGest — Gestion Locataires,locataires impayés,Locataires
ImmoGest — Contrats & Baux,Epic,Done,High,"Baux complets avec signature électronique, EDL, contrat PDF, modification inline",,contrats baux,Contrats
Création et gestion des baux,Story,Done,High,"Tous termes contrat, charges locatives, périodicité, règle du 15",ImmoGest — Contrats & Baux,contrats,Contrats
Signature électronique des baux,Story,Done,High,"Signature électronique intégrée au bail",ImmoGest — Contrats & Baux,contrats signature,Contrats
État des lieux (EDL),Story,Done,Medium,"Upload et gestion de l'état des lieux",ImmoGest — Contrats & Baux,contrats edl,Contrats
Génération contrat PDF,Story,Done,Medium,"Export PDF du contrat de bail",ImmoGest — Contrats & Baux,contrats pdf,Contrats
Modification inline des baux,Story,Done,Medium,"Modification début/fin/loyer/charges/caution/renouvellement directement",ImmoGest — Contrats & Baux,contrats modification,Contrats
